filename,width,height,total_samples,duration_sec,motion_min,motion_max,motion_mean,motion_median,motion_p90,motion_p95,motion_p99,scene_diff_min,scene_diff_max,scene_diff_mean,scene_diff_median,scene_diff_p90,scene_diff_p95,scene_diff_p99,run_diff_min,run_diff_max,run_diff_mean,run_diff_median,run_diff_p90,run_diff_p95,run_diff_p99,max_contour_min,max_contour_max,max_contour_mean,max_contour_median,max_contour_p90,max_contour_p95,max_contour_p99,brightness_mean
2026-07-02-19-21.mp4,640,360,37,540.0,0.0,5.4045,1.7473,1.5004,4.4517,4.9073,5.299,0.0,7.8238,3.0094,2.8724,5.5268,6.4323,7.3747,0.0,6.3707,1.349,0.3424,3.3155,4.3888,5.9084,0.0,3.0239,0.873,0.569,1.8838,2.5787,2.986,94.9778
2026-07-02-19-31.mp4,640,360,37,540.0,0.0,37.1345,2.9012,0.128,5.994,11.2291,31.7011,0.0,42.497,17.1015,8.4392,42.3092,42.3629,42.4514,0.0,42.9518,7.696,0.4093,39.2172,41.567,42.6635,0.0,12.503,1.0774,0.0508,2.5272,3.3581,9.9164,95.5165
2026-07-02-19-41.mp4,640,360,37,540.0,0.0,44.3073,2.9901,0.8672,6.231,7.4767,31.1084,0.0,44.8728,30.0696,41.9831,44.4194,44.5181,44.7767,0.0,44.4926,8.3635,3.1432,42.8799,43.6616,44.2968,0.0,18.038,1.5317,0.5742,3.504,3.7548,12.9176,93.5278
2026-07-02-19-51.mp4,640,360,37,540.0,0.0,45.2044,5.0745,1.5135,9.5022,16.5322,44.0144,0.0,41.4262,11.8944,9.8247,22.9078,24.0502,35.1906,0.0,44.2018,5.7279,3.2908,19.4981,20.9305,36.044,0.0,17.2287,2.0509,0.8197,3.5975,6.6314,16.4936,93.6846
2026-07-02-20-01.mp4,640,360,37,540.0,0.0,6.2964,1.7307,1.8555,3.149,4.0356,5.7119,0.0,12.0725,4.4262,3.6884,11.2516,11.5446,11.8847,0.0,4.7131,1.6408,1.1962,3.5835,4.3114,4.7019,0.0,1.9154,0.8099,0.8694,1.7564,1.8243,1.9137,93.4492
2026-07-02-20-11.mp4,640,360,37,540.0,0.0,55.7279,5.0545,1.7109,6.6488,26.6395,51.0613,0.0,40.592,29.776,36.1376,38.7777,39.1412,40.0787,0.0,37.4501,6.2704,2.6628,17.0384,34.6161,37.0577,0.0,34.1664,2.1675,1.1048,1.6885,6.337,25.3517,99.6846
2026-07-02-20-21.mp4,640,360,37,540.0,0.0,64.6515,4.5687,0.7144,6.4033,18.7582,60.5291,0.0,62.4002,19.6949,18.4349,57.923,62.0617,62.3146,0.0,64.8624,14.8644,4.6701,57.9149,63.3644,64.491,0.0,37.4232,2.4689,0.599,1.7119,10.8289,34.7111,101.3895
2026-07-02-20-31.mp4,640,360,37,540.0,0.0,5.6441,1.0042,0.4062,2.2795,3.1673,4.9929,0.0,9.0838,4.817,7.253,7.8993,8.3227,8.8794,0.0,7.6003,1.4876,0.0,5.2876,6.0704,7.1434,0.0,1.4041,0.4654,0.2626,1.1618,1.3757,1.398,104.6562
2026-07-02-20-41.mp4,640,360,37,540.0,0.0,57.4575,3.4566,0.0308,3.8186,14.9302,52.6722,0.0,53.5842,14.9852,0.885,37.8573,38.5475,48.6287,0.0,55.6875,6.8653,0.2513,35.0284,36.5299,49.3269,0.0,30.2339,1.7149,0.0143,2.5708,7.2457,25.8372,102.3473
2026-07-02-20-51.mp4,640,360,37,540.0,0.0,13.2574,2.1529,0.0312,4.7784,9.6185,12.0249,0.0,10.9379,6.1972,7.1615,9.4794,10.3078,10.9318,0.0,9.6649,2.2169,0.355,7.3266,8.5427,9.3331,0.0,3.5451,1.026,0.0247,3.1367,3.3972,3.5447,97.1886
2026-07-02-21-01.mp4,640,360,37,540.0,0.0,42.4527,3.375,0.4266,4.6106,14.7199,41.8574,0.0,40.6749,18.9214,22.6762,23.943,24.1136,34.8857,0.0,19.4102,3.3545,1.3503,9.1846,17.6122,19.0477,0.0,19.0599,1.4,0.1693,2.985,5.8451,16.1755,99.627
