filename,category,confidence,motion_max,motion_mean,scene_diff_max,scene_diff_mean,brightness_mean
2026-07-02-23-31.mp4,has_truck,1.0,60.701,2.0992,69.0551,45.9813,135.1084
2026-07-02-23-41.mp4,has_truck,1.0,72.7248,6.197,71.6571,11.6052,134.9384
2026-07-02-23-51.mp4,has_truck,0.819,49.1254,4.8689,57.5898,44.6372,135.2454
2026-07-03-00-01.mp4,no_truck,0.5,11.3885,3.22,19.9427,13.2919,134.153
2026-07-03-00-11.mp4,has_truck,0.607,36.4266,4.3671,44.6675,13.1627,134.8446
2026-07-03-00-21.mp4,has_truck,0.902,54.1007,2.852,56.6185,25.6655,136.7181
2026-07-03-00-31.mp4,has_truck,1.0,62.0972,3.6835,55.4345,16.0447,137.0268
2026-07-03-00-41.mp4,no_truck,0.5,6.4514,0.2295,9.5247,3.4024,132.8776
2026-07-03-00-51.mp4,no_truck,0.911,1.0625,0.0827,1.1089,0.5896,134.5016
2026-07-03-01-01.mp4,no_truck,0.995,0.0634,0.0089,0.1849,0.0497,133.0357
2026-07-03-01-11.mp4,no_truck,0.769,2.7756,0.1669,2.8472,0.5816,130.8592
2026-07-03-01-21.mp4,has_truck,0.866,51.9457,1.6431,53.7435,10.0196,132.4668
2026-07-03-01-31.mp4,no_truck,0.573,5.125,1.484,9.1189,3.9475,139.8638
2026-07-03-01-41.mp4,has_truck,0.932,55.8997,6.3002,57.3919,32.3378,136.957
2026-07-03-01-51.mp4,no_truck,0.987,0.1597,0.011,0.3728,0.1419,131.1373
2026-07-03-02-01.mp4,has_truck,0.928,55.6879,2.5796,54.0725,17.1757,132.7862
2026-07-03-02-11.mp4,no_truck,0.5,7.73,1.8278,16.572,9.5053,139.8846
2026-07-03-02-21.mp4,no_truck,0.5,6.9813,2.1161,10.0712,5.5706,139.9641
2026-07-03-02-31.mp4,has_truck,0.763,45.7548,2.3354,50.4792,29.7465,136.6211
2026-07-03-02-41.mp4,no_truck,0.783,2.6007,0.1637,3.2391,2.3046,131.1319
2026-07-03-02-51.mp4,has_truck,1.0,68.9865,4.8906,53.7661,14.4906,133.7146
2026-07-03-03-01.mp4,no_truck,0.5,9.3542,3.3006,9.4952,2.7375,136.7227
2026-07-03-03-11.mp4,no_truck,0.5,10.7747,3.0205,16.7448,9.5167,137.1386
2026-07-03-03-21.mp4,no_truck,0.5,7.9692,2.9332,11.9905,6.8832,138.5886
2026-07-03-03-31.mp4,has_truck,0.958,57.4683,6.3439,45.559,19.6491,136.3943
2026-07-03-03-41.mp4,no_truck,0.5,6.9939,2.2837,13.1519,6.195,141.063
2026-07-03-03-51.mp4,has_truck,0.911,54.6411,2.1816,52.3112,27.476,136.3124
2026-07-03-04-01.mp4,has_truck,0.885,53.0985,3.8724,56.2899,47.3263,136.6984
2026-07-03-04-11.mp4,has_truck,0.955,57.3051,4.8092,60.3481,23.9433,136.3778
2026-07-03-04-21.mp4,no_truck,0.5,7.1997,2.7781,13.6727,8.0984,138.6073
2026-07-03-04-31.mp4,has_truck,0.663,39.7617,1.1469,2.2756,1.2046,133.2703
2026-07-03-04-41.mp4,has_truck,0.729,43.7496,3.6965,47.8164,38.3706,136.7851
2026-07-03-04-51.mp4,has_truck,0.679,40.7552,3.0249,43.4648,23.8631,136.3076
2026-07-03-05-01.mp4,no_truck,0.995,0.0638,0.0122,0.0977,0.0504,131.7672
2026-07-03-05-11.mp4,has_truck,0.911,54.6411,1.7097,50.4909,1.9345,128.5792
2026-07-03-05-21.mp4,no_truck,0.5,7.9119,1.6287,11.8872,8.4217,137.2816
2026-07-03-05-31.mp4,has_truck,0.93,55.799,3.1293,47.8533,24.9356,134.8303
2026-07-03-05-41.mp4,no_truck,0.586,4.9696,0.2566,4.2886,0.7666,130.6632
2026-07-03-05-51.mp4,no_truck,0.862,1.6597,0.0659,2.1949,0.2011,130.1078
2026-07-03-06-01.mp4,has_truck,0.831,49.878,3.2416,52.3707,31.5562,135.6181
2026-07-03-06-11.mp4,has_truck,0.967,57.9996,6.4094,48.9518,18.9119,138.2432
2026-07-03-06-21.mp4,no_truck,0.5,10.5295,2.4424,14.615,9.6639,135.7762
2026-07-03-06-31.mp4,no_truck,0.5,7.043,1.6815,10.2491,6.4505,136.7065
2026-07-03-06-41.mp4,has_truck,0.98,58.8086,4.2617,51.7847,19.6714,134.943
2026-07-03-06-51.mp4,has_truck,0.882,52.8924,3.0526,54.9032,35.4922,136.3546
2026-07-03-07-01.mp4,has_truck,0.846,50.7491,6.251,52.5373,17.5686,137.6751
2026-07-03-07-11.mp4,no_truck,0.521,5.7431,1.6787,13.2895,6.8068,129.3357
2026-07-03-07-21.mp4,no_truck,0.5,6.474,2.263,19.4527,9.2206,131.8157
2026-07-03-07-31.mp4,has_truck,0.805,48.2852,5.3554,43.4657,19.9181,136.1686
