filename,arrival_timestamp_sec,duration_sec,confidence,api_calls,method,notes
2026-07-02-08-21.mp4,0.0,545.0,1.0,1,truck_at_start,
2026-07-02-08-41.mp4,341.9,547.0,1.0,11,binary_search,
2026-07-02-08-51.mp4,0.0,546.4,1.0,1,truck_at_start,
2026-07-02-09-01.mp4,0.0,546.4,1.0,1,truck_at_start,
2026-07-02-09-11.mp4,0.0,547.0,1.0,1,truck_at_start,
2026-07-02-09-21.mp4,0.0,548.6,1.0,1,truck_at_start,
2026-07-02-09-31.mp4,0.0,549.6,1.0,1,truck_at_start,
2026-07-02-09-41.mp4,0.0,549.9,1.0,1,truck_at_start,
2026-07-02-09-51.mp4,0.0,551.0,1.0,1,truck_at_start,
2026-07-02-10-01.mp4,0.0,551.2,1.0,1,truck_at_start,
2026-07-02-10-11.mp4,475.1,551.5,1.0,11,binary_search,
2026-07-02-10-21.mp4,0.0,546.2,1.0,1,truck_at_start,
2026-07-02-10-31.mp4,0.0,545.3,1.0,1,truck_at_start,
2026-07-02-10-41.mp4,0.0,548.4,1.0,1,truck_at_start,
2026-07-02-16-31.mp4,0.0,547.6,1.0,1,truck_at_start,
2026-07-02-16-41.mp4,0.0,547.1,1.0,1,truck_at_start,
2026-07-02-16-51.mp4,0.0,547.0,1.0,1,truck_at_start,
2026-07-02-17-01.mp4,0.0,547.4,1.0,1,truck_at_start,
2026-07-02-17-11.mp4,0.0,548.0,1.0,1,truck_at_start,
2026-07-02-17-21.mp4,0.0,548.5,1.0,1,truck_at_start,
2026-07-02-17-41.mp4,0.0,547.8,1.0,1,truck_at_start,
2026-07-02-17-51.mp4,0.0,547.0,1.0,1,truck_at_start,
2026-07-02-18-01.mp4,0.0,547.1,1.0,1,truck_at_start,
2026-07-02-18-11.mp4,0.0,548.0,1.0,1,truck_at_start,
2026-07-02-18-21.mp4,0.0,547.3,1.0,1,truck_at_start,
2026-07-02-18-31.mp4,0.0,547.9,1.0,1,truck_at_start,
2026-07-02-18-41.mp4,0.0,546.8,1.0,1,truck_at_start,
2026-07-02-18-51.mp4,0.0,548.5,1.0,1,truck_at_start,
2026-07-02-19-11.mp4,0.0,548.6,1.0,1,truck_at_start,
2026-07-02-19-21.mp4,0.0,548.2,1.0,1,truck_at_start,
2026-07-02-19-31.mp4,0.0,548.5,1.0,1,truck_at_start,
2026-07-02-19-41.mp4,158.5,548.4,1.0,11,binary_search,
2026-07-02-19-51.mp4,0.0,547.3,1.0,1,truck_at_start,
2026-07-02-20-01.mp4,0.0,547.2,1.0,1,truck_at_start,
2026-07-02-20-11.mp4,0.0,548.2,1.0,1,truck_at_start,
2026-07-02-20-21.mp4,0.0,548.7,1.0,1,truck_at_start,
2026-07-02-20-31.mp4,0.0,548.1,1.0,1,truck_at_start,
2026-07-02-20-41.mp4,0.0,548.3,1.0,1,truck_at_start,
2026-07-02-20-51.mp4,0.0,548.6,1.0,1,truck_at_start,
2026-07-02-21-01.mp4,0.0,548.6,1.0,1,truck_at_start,
2026-07-02-21-11.mp4,0.0,548.5,1.0,1,truck_at_start,
2026-07-02-21-21.mp4,0.0,546.5,1.0,1,truck_at_start,
2026-07-02-21-31.mp4,0.0,547.0,1.0,1,truck_at_start,
2026-07-02-21-41.mp4,0.0,549.4,1.0,1,truck_at_start,
2026-07-02-21-51.mp4,0.0,550.2,1.0,1,truck_at_start,
2026-07-02-22-01.mp4,0.0,549.3,1.0,1,truck_at_start,
2026-07-02-22-11.mp4,0.0,550.6,1.0,1,truck_at_start,
2026-07-02-22-21.mp4,0.0,550.5,1.0,1,truck_at_start,
2026-07-02-22-31.mp4,0.0,549.6,1.0,1,truck_at_start,
2026-07-02-22-41.mp4,0.0,548.7,1.0,1,truck_at_start,
2026-07-02-22-51.mp4,0.0,549.2,1.0,1,truck_at_start,
2026-07-02-23-01.mp4,0.0,548.2,1.0,1,truck_at_start,
2026-07-02-23-11.mp4,0.0,547.9,1.0,1,truck_at_start,
2026-07-02-23-21.mp4,0.0,548.3,1.0,1,truck_at_start,
2026-07-02-23-31.mp4,0.0,549.3,1.0,1,truck_at_start,
2026-07-02-23-41.mp4,449.0,548.6,1.0,11,binary_search,
2026-07-02-23-51.mp4,0.0,547.0,1.0,1,truck_at_start,
2026-07-03-00-01.mp4,0.0,547.3,1.0,1,truck_at_start,
2026-07-03-00-11.mp4,0.0,546.6,1.0,1,truck_at_start,
2026-07-03-00-21.mp4,291.3,548.4,1.0,11,binary_search,
2026-07-03-00-31.mp4,0.0,547.5,1.0,1,truck_at_start,
2026-07-03-01-21.mp4,0.0,549.7,1.0,1,truck_at_start,
2026-07-03-01-41.mp4,0.0,548.3,1.0,1,truck_at_start,
2026-07-03-02-01.mp4,176.6,547.9,1.0,11,binary_search,
2026-07-03-02-11.mp4,0.0,547.7,1.0,1,truck_at_start,
2026-07-03-02-21.mp4,0.0,547.0,1.0,1,truck_at_start,
2026-07-03-02-31.mp4,0.0,548.3,1.0,1,truck_at_start,
2026-07-03-02-51.mp4,0.0,548.9,1.0,1,truck_at_start,
2026-07-03-03-01.mp4,0.0,547.5,1.0,1,truck_at_start,
2026-07-03-03-11.mp4,0.0,547.6,1.0,1,truck_at_start,
2026-07-03-03-21.mp4,0.0,548.4,1.0,1,truck_at_start,
2026-07-03-03-31.mp4,0.0,548.7,1.0,1,truck_at_start,
2026-07-03-03-41.mp4,0.0,548.7,1.0,1,truck_at_start,
